source,	target,	weight
arkansas	europe,	200
tennessee	zhonghua	32
france	mississippi	166
gaeta,latina,lazio,italia,europe	scotland	1
maryland	maryland	5481
,	osterreich,europe	4
italia	palermo,palermo,sicilia,italia,europe	37
asia	france	60
asia	europe,	78
austria	polska	104
mississippi	rossiya	38
genova,genova,liguria,italia,europe	sardegna	8
germany	italia	36
,	germany	9
austria	germany	10
europe,	germany	67
sicilia	solferino,mantova,lombardia,italia,europe	1
napoli,napoli,campania,italia,europe	solferino,mantova,lombardia,italia,europe	1
europe,	solferino,mantova,lombardia,italia,europe	17
,	ida	13
france	portugal	141
missouri	portugal	13
missouri	prussia	15
missouri	rossiya	73
france	missouri	460
kentucky	valencia,valencia,valencia,espana,europe	5
alps	italia	29
alps	europe,	13
,	sardegna	3
,	alps	7
,	sicilia	1
alps	napoli,napoli,campania,italia,europe	7
alps	italian	3
italian	sicilia	3
alps	austria	3
alps	sardegna	2
alps	sicilia	1
arkansas	espana	29
espana	iowa	4
california	espana	40
espana	texas	67
arkansas	iowa	31
california	iowa	12
iowa	texas	26
venezia,venezia,veneto,italia,europe	virginia	11
africa,	virginia	290
europe,	venezia,venezia,veneto,italia,europe	95
africa,	europe,	115
louisiana	venezia,venezia,veneto,italia,europe	7
bharat	louisiana	14
africa,	louisiana	43
bharat	venezia,venezia,veneto,italia,europe	18
africa,	venezia,venezia,veneto,italia,europe	3
africa,	bharat	8
iowa	mississippi	28
iowa	virginia	194
iowa	pennsylvania	79
iowa	michigan	32
iowa	wisconsin	32
iowa	minnesota	27
florida	iowa	19
alabama	iowa	30
iowa	louisiana	20
iowa	tennessee	49
iowa	kentucky	86
georgia	iowa	13
iowa	maryland	90
delaware	iowa	35
minnesota	ohio	25
belgie	parisian	2
parisian	parisian	3
essling,wien,wien,osterreich,europe	parisian	2
espana	parisian	2
france	parisian	19
belgie	essling,wien,wien,osterreich,europe	1
belgie	espana	94
belgie	france	368
espana	essling,wien,wien,osterreich,europe	1
essling,wien,wien,osterreich,europe	france	1
bordeaux,gironde,aquitaine,france,europe	europe,	32
bordeaux,gironde,aquitaine,france,europe	italia	2
algeria	bordeaux,gironde,aquitaine,france,europe	4
algeria	europe,	16
algeria	italia	13
algeria	algeria	3
kentucky	nederland	18
france	nederland	57
espana	kentucky	114
espana	georgia	40
espana	mississippi	35
espana	illinois	22
espana	missouri	95
virginia	yankees	237
florida	yankees	72
alabama	yankees	84
missouri	yankees	92
illinois	yankees	43
kentucky	yankees	218
tennessee	yankees	261
louisiana	yankees	79
kansas	yankees	15
nicaragua	yankees	2
georgia	yankees	225
nicaragua	virginia	10
florida	kansas	51
florida	nicaragua	3
alabama	kansas	72
alabama	nicaragua	8
missouri	nicaragua	9
illinois	kansas	183
illinois	nicaragua	6
kansas	kentucky	440
kentucky	nicaragua	10
kansas	tennessee	264
nicaragua	tennessee	19
kansas	louisiana	92
louisiana	nicaragua	9
kansas	nicaragua	46
georgia	nicaragua	10
state	virginia	6
georgia	state	1
france	state	1
antigua	bermuda	1
eire	suriyah	3
eire	prussia	11
gaeta,latina,lazio,italia,europe	prussia	11
hampshire	virginia	80
,	hampshire	21
court,bern,schweiz,europe	france	9
court,bern,schweiz,europe	europe,	8
,	ohio	66
ellas,europe	nihon	5
georgia	nebraska	21
georgia	mexico	14
georgia	oklahoma	26
maryland	mexico	6
maryland	oklahoma	43
mexico	virginia	7
oklahoma	virginia	77
kansas	mississippi	74
mississippi	nebraska	30
mexico	mississippi	9
mississippi	oklahoma	23
maine	mexico	2
maine	oklahoma	8
kansas	vermont	113
nebraska	vermont	15
mexico	vermont	3
oklahoma	vermont	5
kansas	massachusetts	158
massachusetts	nebraska	31
massachusetts	mexico	4
massachusetts	oklahoma	6
connecticut	kansas	103
connecticut	nebraska	13
connecticut	mexico	4
connecticut	oklahoma	4
nebraska	pennsylvania	34
mexico	pennsylvania	3
oklahoma	pennsylvania	9
indiana	kansas	179
indiana	nebraska	26
indiana	mexico	3
indiana	oklahoma	17
illinois	nebraska	31
illinois	mexico	2
illinois	oklahoma	8
kansas	michigan	51
michigan	nebraska	14
mexico	michigan	2
michigan	oklahoma	3
kansas	wisconsin	66
nebraska	wisconsin	15
mexico	wisconsin	2
oklahoma	wisconsin	6
kansas	minnesota	58
minnesota	nebraska	20
mexico	minnesota	3
minnesota	oklahoma	4
kansas	oregon	40
nebraska	oregon	15
mexico	oregon	2
california	nebraska	15
california	mexico	9
delaware	kansas	129
kansas	mexico	3
kansas	oklahoma	24
delaware	nebraska	14
alabama	nebraska	26
florida	nebraska	22
kentucky	nebraska	33
missouri	nebraska	46
arkansas	nebraska	18
nebraska	tennessee	35
louisiana	nebraska	28
nebraska	texas	12
mexico	nebraska	2
nebraska	oklahoma	4
delaware	mexico	2
delaware	oklahoma	19
alabama	mexico	5
alabama	oklahoma	24
florida	mexico	8
florida	oklahoma	9
kentucky	mexico	7
kentucky	oklahoma	42
mexico	missouri	13
missouri	oklahoma	70
arkansas	mexico	5
arkansas	oklahoma	54
mexico	tennessee	8
oklahoma	tennessee	66
